"product_label","supplier","first_name","qty","promotion","price","company","description","ratio"
Hewlett-Packard Deskjet 6122 Color Inkjet Printer,Alan Barnes,23584,636.18,200.97,15.59,Northwest Territories,Office Machines,0.36
"IBM 80 Minute CD-R Spindle, 50/Pack",Joy Bell,24007,135.65,20.89,1.99,Northwest Territories,Computer Peripherals,0.48
"Peel & Seel Recycled Catalog Envelopes, Brown",Joy Bell,24007,-13.95,11.58,6.97,Northwest Territories,Envelopes,0.35
Avery 506,Joy Bell,24007,66.17,4.13,0.5,Northwest Territories,Labels,0.39
Prang Drawing Pencil Set,Jack Lebron,24038,-0.95,2.78,1.34,Northwest Territories,Pens & Art Supplies,0.45
TDK 4.7GB DVD+RW,Anthony Johnson,24097,-35.34,14.48,1.99,Northwest Territories,Computer Peripherals,0.49
U.S. Robotics 56K Internet Call Modem,Anthony Johnson,24097,399.93,99.99,19.99,Northwest Territories,Computer Peripherals,0.5
Xerox 190,Anthony Johnson,24097,-8.15,4.98,4.86,Northwest Territories,Paper,0.38
Standard Line While You Were Out Hardbound Telephone Message Book,Eugene Barchas,24128,7.07,21.98,8.32,Northwest Territories,Paper,0.39
CF 888,Eugene Barchas,24128,1459.79,195.99,3.99,Northwest Territories,Telephones and Communication,0.59
Hewlett-Packard Deskjet 6122 Color Inkjet Printer,Thomas Seio,24294,1951.3,200.97,15.59,Northwest Territories,Office Machines,0.36
Dana Halogen Swing-Arm Architect Lamp,Bryan Mills,24387,51.9,40.97,14.45,Northwest Territories,Office Furnishings,0.57
"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Bryan Mills,24387,1418.36,349.45,60,Northwest Territories,Tables,
Lexmark Z25 Color Inkjet Printer,Eugene Barchas,24515,121.48,80.97,33.6,Northwest Territories,Office Machines,0.37
Hon Multipurpose Stacking Arm Chairs,Sylvia Foulston,24743,176.67,216.6,64.2,Northwest Territories,Chairs & Chairmats,0.59
Hon Olson Stacker Stools,Sylvia Foulston,24743,753.61,140.81,24.49,Northwest Territories,Chairs & Chairmats,0.57
"Executive Impressions 14"" Two-Color Numerals Wall Clock",Carl Ludwig,24871,75.3,22.72,8.99,Northwest Territories,Office Furnishings,0.44
12-1/2 Diameter Round Wall Clock,Julia West,25318,-65.18,19.98,10.49,Northwest Territories,Office Furnishings,0.49
Epson DFX5000+ Dot Matrix Printer,Don Jones,25377,-3755.03,1500.97,29.7,Northwest Territories,Office Machines,0.57
"Fellowes Basic 104-Key Keyboard, Platinum",Mike Pelletier,25634,28.99,20.95,4,Northwest Territories,Computer Peripherals,0.6
"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Mike Pelletier,25634,185.32,23.99,6.71,Northwest Territories,Envelopes,0.35
GBC Standard Therm-A-Bind Covers,Eugene Barchas,25733,-42.99,24.92,12.98,Northwest Territories,Binders and Binder Accessories,0.39
"80 Minute CD-R Spindle, 100/Pack - Staples",Ann Chong,25767,-59.2,39.48,1.99,Northwest Territories,Computer Peripherals,0.54
Xerox 1892,Ann Chong,25767,108.01,38.76,13.26,Northwest Territories,Paper,0.36
Staples Paper Clips,Charles McCrossin,26023,19.86,2.47,1.02,Northwest Territories,Rubber Bands,0.38
"Metal Folding Chairs, Beige, 4/Carton",Annie Cyprus,26051,-127.39,33.94,19.19,Northwest Territories,Chairs & Chairmats,0.58
"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",Annie Cyprus,26051,22.46,8.33,1.99,Northwest Territories,Computer Peripherals,0.52
Computer Printout Paper with Letter-Trim Perforations,Carlos Soltero,26116,81.71,18.97,9.03,Northwest Territories,Paper,0.37
Bush Mission Pointe Library,Doug Bickford,26182,-549.27,150.98,66.27,Northwest Territories,Bookcases,0.65
Hon Olson Stacker Stools,Carlos Daly,26272,-4.19,140.81,24.49,Northwest Territories,Chairs & Chairmats,0.57
Xerox 1929,Fred Wasserman,26370,52.02,22.84,5.47,Northwest Territories,Paper,0.39
Home/Office Personal File Carts,Fred Wasserman,26370,63.83,34.76,5.49,Northwest Territories,Storage & Organization,0.6
Avery 507,Sylvia Foulston,26499,8.78,2.88,0.5,Northwest Territories,Labels,0.39
i470,Michelle Lonsdale,26531,1215.44,205.99,5.26,Northwest Territories,Telephones and Communication,0.56
3M Organizer Strips,Sylvia Foulston,26567,-44.07,5.4,7.78,Northwest Territories,Binders and Binder Accessories,0.37
"Imation 3.5 IBM Diskettes, 10/Box",Sylvia Foulston,26567,-100.51,8.46,8.99,Northwest Territories,Computer Peripherals,0.79
"GE 4 Foot Flourescent Tube, 40 Watt",Sylvia Foulston,26567,-17.75,14.98,8.99,Northwest Territories,Office Furnishings,0.39
300 Series Non-Flip,Sylvia Foulston,26567,1374.95,155.99,8.08,Northwest Territories,Telephones and Communication,0.6
"Executive Impressions 13"" Chairman Wall Clock",Charlotte Melton,26854,-12.95,25.38,8.99,Northwest Territories,Office Furnishings,0.5
Micro Innovations 104 Keyboard,Barry French,27109,-154.66,10.97,6.5,Northwest Territories,Computer Peripherals,0.64
US Robotics 56K V.92 External Faxmodem,Heather Kirkland,27111,-127.56,99.99,19.99,Northwest Territories,Computer Peripherals,0.52
Fellowes Staxonsteel Drawer Files,Heather Kirkland,27111,282.18,193.17,19.99,Northwest Territories,Storage & Organization,0.71
Accessory39,Heather Kirkland,27111,-96.34,20.99,3.3,Northwest Territories,Telephones and Communication,0.81
Telescoping Adjustable Floor Lamp,Henry Goldwyn,27264,44.54,19.99,11.17,Northwest Territories,Office Furnishings,0.6
Canon MP41DH Printing Calculator,Frank Price,27392,2509.52,150.98,13.99,Northwest Territories,Office Machines,0.38
"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",Jim Radford,27553,1166.93,370.98,99,Northwest Territories,Storage & Organization,0.65
VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Jim Radford,27553,297.11,179.99,13.99,Northwest Territories,Telephones and Communication,0.57
"Memo Book, 100 Message Capacity, 5 3/8 x 11",Ralph Knight,27555,65.41,6.74,1.72,Northwest Territories,Paper,0.35
Belkin 6 Outlet Metallic Surge Strip,Delfina Latchford,27680,-46.98,10.89,4.5,Northwest Territories,Appliances,0.59
Xerox 21,Delfina Latchford,27680,-46.89,6.48,6.6,Northwest Territories,Paper,0.37
GBC DocuBind TL200 Manual Binding Machine,Roy Skaria,27778,-105.14,223.98,15.01,Northwest Territories,Binders and Binder Accessories,0.38
"Sauder Forest Hills Library, Woodland Oak Finish",Roy Skaria,27778,-393.96,140.98,36.09,Northwest Territories,Bookcases,0.77
Xerox 1940,Monica Federle,27909,-23.24,54.96,10.75,Northwest Territories,Paper,0.36
Bagged Rubber Bands,Monica Federle,27909,-24.86,1.26,0.7,Northwest Territories,Rubber Bands,0.81
Xerox 1897,Charles McCrossin,28003,-95.92,4.98,6.07,Northwest Territories,Paper,0.36
Poly Designer Cover & Back,Don Miller,28035,89.56,18.99,5.23,Northwest Territories,Binders and Binder Accessories,0.37
Bionaire Personal Warm Mist Humidifier/Vaporizer,Jeremy Lonsdale,28135,520.69,46.89,5.1,Northwest Territories,Appliances,0.46
"Acme 8"" Straight Scissors",Jeremy Lonsdale,28135,38.23,12.98,3.14,Northwest Territories,"Scissors, Rulers and Trimmers",0.6
Heavy-Duty E-Z-D Binders,Grant Carroll,28165,-12.8,10.91,2.99,Northwest Territories,Binders and Binder Accessories,0.38
Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Carl Ludwig,28289,-46.03,4.98,4.75,Northwest Territories,Paper,0.36
Deluxe Rollaway Locking File with Drawer,Carlos Daly,28486,-517.47,415.88,11.37,Northwest Territories,Storage & Organization,0.57
252,Ralph Knight,28675,4.39,65.99,5.92,Northwest Territories,Telephones and Communication,0.55
6160,Cindy Schnelling,28870,822.4,115.99,2.5,Northwest Territories,Telephones and Communication,0.57
"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Claudia Miner,28871,-56.12,5.02,5.14,Northwest Territories,Computer Peripherals,0.79
Prismacolor Color Pencil Set,Roy Skaria,29030,24.6,19.84,4.1,Northwest Territories,Pens & Art Supplies,0.44
Wilson Jones DublLock D-Ring Binders,Delfina Latchford,29095,54.46,6.75,2.99,Northwest Territories,Binders and Binder Accessories,0.35
Binder Posts,Edward Hooks,29287,-106.4,5.74,5.01,Northwest Territories,Binders and Binder Accessories,0.39
Epson LQ-570e Dot Matrix Printer,Edward Hooks,29287,2699.67,270.97,28.06,Northwest Territories,Office Machines,0.56
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Don Miller,29510,1292.44,260.98,41.91,Northwest Territories,Bookcases,0.59
Fellowes PB300 Plastic Comb Binding Machine,Grant Carroll,29795,8793.54,387.99,19.99,Northwest Territories,Binders and Binder Accessories,0.38
Rush Hierlooms Collection Rich Wood Bookcases,Grant Carroll,29795,813.83,160.98,35.02,Northwest Territories,Bookcases,0.72
Avery 481,Brad Eason,29861,5.58,3.08,0.99,Northwest Territories,Labels,0.37
Sharp AL-1530CS Digital Copier,Charles McCrossin,30658,6907.61,499.99,24.49,Northwest Territories,Copiers and Fax,0.36
"SAFCO Commercial Wire Shelving, Black",Charles McCrossin,30658,-942.5,138.14,35,Northwest Territories,Storage & Organization,
"Avery Trapezoid Extra Heavy Duty 4"" Binders",Charles McCrossin,30947,261.24,41.94,2.99,Northwest Territories,Binders and Binder Accessories,0.35
Self-Adhesive Address Labels for Typewriters by Universal,Charles McCrossin,30947,183.53,7.31,0.49,Northwest Territories,Labels,0.38
StarTAC Series,Bryan Mills,31077,470.83,65.99,3.9,Northwest Territories,Telephones and Communication,0.55
"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Monica Federle,31111,-29.02,7.64,5.83,Northwest Territories,Paper,0.36
Dana Halogen Swing-Arm Architect Lamp,Michelle Lonsdale,31169,109.88,40.97,14.45,Northwest Territories,Office Furnishings,0.57
Global Comet Stacking Armless Chair,Michelle Lonsdale,31270,801.72,299.05,87.01,Northwest Territories,Chairs & Chairmats,0.57
Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,Michelle Lonsdale,31270,-328.36,291.73,48.8,Northwest Territories,Chairs & Chairmats,0.56
"Fellowes Internet Keyboard, Platinum",Michelle Lonsdale,31270,-112.44,30.42,8.65,Northwest Territories,Computer Peripherals,0.74
Deluxe Rollaway Locking File with Drawer,Beth Thompson,31364,-539.59,415.88,11.37,Northwest Territories,Storage & Organization,0.57
"Eldon Base for stackable storage shelf, platinum",Muhammed MacIntyre,3,-213.25,38.94,35,Nunavut,Storage & Organization,0.8
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Barry French,293,457.81,208.16,68.02,Nunavut,Appliances,0.58
"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",Barry French,293,46.71,8.69,2.99,Nunavut,Binders and Binder Accessories,0.39
R380,Clay Rozendal,483,1198.97,195.99,3.99,Nunavut,Telephones and Communication,0.58
Holmes HEPA Air Purifier,Carlos Soltero,515,30.94,21.78,5.94,Nunavut,Appliances,0.5
G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Carlos Soltero,515,4.43,6.64,4.95,Nunavut,Office Furnishings,0.37
"Angle-D Binders with Locking Rings, Label Holders",Carl Jackson,613,-54.04,7.3,7.72,Nunavut,Binders and Binder Accessories,0.38
"SAFCO Mobile Desk Side File, Wire Frame",Carl Jackson,613,127.7,42.76,6.22,Nunavut,Storage & Organization,
"SAFCO Commercial Wire Shelving, Black",Monica Federle,643,-695.26,138.14,35,Nunavut,Storage & Organization,
Xerox 198,Dorothy Badders,678,-226.36,4.98,8.33,Nunavut,Paper,0.38
Xerox 1980,Neola Schneider,807,-166.85,4.28,6.18,Nunavut,Paper,0.4
Advantus Map Pennant Flags and Round Head Tacks,Neola Schneider,807,-14.33,3.95,2,Nunavut,Rubber Bands,0.53
Holmes HEPA Air Purifier,Carlos Daly,868,134.72,21.78,5.94,Nunavut,Appliances,0.5
"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Carlos Daly,868,114.46,47.98,3.61,Nunavut,Computer Peripherals,0.71
"Wilson Jones 1"" Hanging DublLock Ring Binders",Claudia Miner,933,-4.72,5.28,2.99,Nunavut,Binders and Binder Accessories,0.37
Ultra Commercial Grade Dual Valve Door Closer,Neola Schneider,995,782.91,39.89,3.04,Nunavut,Office Furnishings,0.53
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Allen Rosenblatt,998,93.8,15.74,1.39,Nunavut,Envelopes,0.4
Hon 4-Shelf Metal Bookcases,Sylvia Foulston,1154,440.72,100.98,26.22,Nunavut,Bookcases,0.6
"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Sylvia Foulston,1154,-481.04,71.37,69,Nunavut,Tables,0.68
g520,Jim Radford,1344,-11.68,65.99,5.26,Nunavut,Telephones and Communication,0.59
LX 788,Jim Radford,1344,313.58,155.99,8.99,Nunavut,Telephones and Communication,0.58
Avery 52,Carlos Soltero,1412,26.92,3.69,0.5,Nunavut,Labels,0.38
Plymouth Boxed Rubber Bands by Plymouth,Carlos Soltero,1412,-5.77,4.71,0.7,Nunavut,Rubber Bands,0.8
"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Carl Ludwig,1539,-172.88,15.99,13.18,Nunavut,Binders and Binder Accessories,0.37
"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Carl Ludwig,1539,-144.55,4.89,4.93,Nunavut,Computer Peripherals,0.66
Newell 335,Don Miller,1540,5.76,2.88,0.7,Nunavut,Pens & Art Supplies,0.56
SANFORD Liquid Accent Tank-Style Highlighters,Annie Cyprus,1702,4.9,2.84,0.93,Nunavut,Pens & Art Supplies,0.54
Canon PC940 Copier,Carl Ludwig,1761,-547.61,449.99,49,Nunavut,Copiers and Fax,0.38
"Tenex Personal Project File with Scoop Front Design, Black",Carlos Soltero,1792,-5.45,13.48,4.51,Nunavut,Storage & Organization,0.59
Col-Erase Pencils with Erasers,Grant Carroll,2275,41.67,6.08,1.17,Nunavut,Pens & Art Supplies,0.56
"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Don Miller,2277,-46.03,5.98,4.38,Nunavut,Computer Peripherals,0.75
"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Don Miller,2277,33.67,40.99,19.99,Nunavut,Paper,0.36
Self-Adhesive Address Labels for Typewriters by Universal,Alan Barnes,2532,140.01,7.31,0.49,Nunavut,Labels,0.38
Accessory37,Alan Barnes,2532,-78.96,20.99,2.5,Nunavut,Telephones and Communication,0.81
Fuji 5.2GB DVD-RAM,Jack Garza,2631,252.66,40.96,1.99,Nunavut,Computer Peripherals,0.55
Bevis Steel Folding Chairs,Julia West,2757,-1766.01,95.95,74.35,Nunavut,Chairs & Chairmats,0.57
Avery Binder Labels,Eugene Barchas,2791,-236.27,3.89,7.01,Nunavut,Binders and Binder Accessories,0.37
Hon Every-Day Chair Series Swivel Task Chairs,Eugene Barchas,2791,80.44,120.98,30,Nunavut,Chairs & Chairmats,0.64
"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Eugene Barchas,2791,118.94,30.98,5.76,Nunavut,Paper,0.4
Global Troy Executive Leather Low-Back Tilter,Edward Hooks,2976,3424.22,500.98,26,Nunavut,Chairs & Chairmats,0.6
XtraLife ClearVue Slant-D Ring Binders by Cardinal,Brad Eason,3232,-11.83,7.84,4.71,Nunavut,Binders and Binder Accessories,0.35
Computer Printout Paper with Letter-Trim Perforations,Nicole Hansen,3524,52.35,18.97,9.03,Nunavut,Paper,0.37
6160,Dorothy Wardle,3908,-180.2,115.99,2.5,Nunavut,Telephones and Communication,0.57
Avery 49,Aaron Bergman,4132,1.32,2.88,0.5,Nunavut,Labels,0.36
Hoover Portapower Portable Vacuum,Jim Radford,4612,-375.64,4.48,49,Nunavut,Appliances,0.6
Timeport L7089,Annie Cyprus,4676,-104.25,125.99,7.69,Nunavut,Telephones and Communication,0.58
Avery 510,Annie Cyprus,4676,85.96,3.75,0.5,Nunavut,Labels,0.37
Xerox 1881,Annie Cyprus,4676,-8.38,12.28,6.47,Nunavut,Paper,0.38
LX 788,Annie Cyprus,4676,1115.69,155.99,8.99,Nunavut,Telephones and Communication,0.58
"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",Annie Cyprus,5284,-3.05,8.69,2.99,Nunavut,Binders and Binder Accessories,0.39
"Memorex 4.7GB DVD-RAM, 3/Pack",Clay Rozendal,5316,514.07,31.78,1.99,Nunavut,Computer Peripherals,0.42
Unpadded Memo Slips,Don Jones,5409,-7.04,3.98,2.97,Nunavut,Paper,0.35
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Beth Thompson,5506,4.41,5.88,3.04,Nunavut,Paper,0.36
"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Frank Price,5569,-0.06,9.65,6.22,Nunavut,Office Furnishings,0.55
Bell Sonecor JB700 Caller ID,Michelle Lonsdale,5607,-50.33,7.99,5.03,Nunavut,Telephones and Communication,0.6
Avery Arch Ring Binders,Ann Chong,5894,87.68,58.1,1.49,Nunavut,Binders and Binder Accessories,0.38
APC 7 Outlet Network SurgeArrest Surge Protector,Ann Chong,5894,-68.22,80.48,4.5,Nunavut,Appliances,0.55
"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Joy Bell,5925,-354.9,92.23,39.61,Nunavut,Office Furnishings,0.67
Accessory4,Joy Bell,5925,-267.01,85.99,0.99,Nunavut,Telephones and Communication,0.85
Personal Creations Ink Jet Cards and Labels,Skye Norling,6016,3.63,11.48,5.43,Nunavut,Paper,0.36
High Speed Automatic Electric Letter Opener,Barry Weirich,6116,-1759.58,1637.53,24.49,Nunavut,"Scissors, Rulers and Trimmers",0.81
Xerox 1966,Grant Carroll,6182,-116.79,6.48,6.65,Nunavut,Paper,0.36
Xerox 213,Grant Carroll,6182,-67.28,6.48,7.86,Nunavut,Paper,0.37
"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Adrian Hane,6535,-19.33,28.15,8.99,Nunavut,Pens & Art Supplies,0.57
Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Skye Norling,6884,-61.21,4.98,4.75,Nunavut,Paper,0.36
"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Skye Norling,6884,119.09,6.35,1.02,Nunavut,Paper,0.39
Crate-A-Files,Andrew Gjertsen,6916,-141.27,10.9,7.46,Nunavut,Storage & Organization,0.59
"Angle-D Binders with Locking Rings, Label Holders",Ralph Knight,6980,-77.28,7.3,7.72,Nunavut,Binders and Binder Accessories,0.38
"80 Minute CD-R Spindle, 100/Pack - Staples",Dorothy Wardle,6982,407.44,39.48,1.99,Nunavut,Computer Peripherals,0.54
"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Dorothy Wardle,6982,-338.27,100.98,57.38,Nunavut,Bookcases,0.78
12-1/2 Diameter Round Wall Clock,Dorothy Wardle,6982,52.56,19.98,10.49,Nunavut,Office Furnishings,0.49
SAFCO Arco Folding Chair,Grant Carroll,7110,1902.24,276.2,24.49,Nunavut,Chairs & Chairmats,
"#10 White Business Envelopes,4 1/8 x 9 1/2",Barry Weirich,7430,353.2,15.67,1.39,Nunavut,Envelopes,0.38
3M Office Air Cleaner,Beth Paige,7906,271.78,25.98,5.37,Nunavut,Appliances,0.5
"Global Leather and Oak Executive Chair, Black",Sylvia Foulston,8391,-268.36,300.98,64.73,Nunavut,Chairs & Chairmats,0.56
Xerox 1936,Nicole Hansen,8419,70.39,19.98,5.97,Nunavut,Paper,0.38
Xerox 214,Nicole Hansen,8419,-86.62,6.48,7.03,Nunavut,Paper,0.37
Carina Double Wide Media Storage Towers in Natural & Black,Nicole Hansen,8833,-846.73,80.98,35,Nunavut,Storage & Organization,0.81
Staples General Use 3-Ring Binders,Beth Paige,8995,8.05,1.88,1.49,Nunavut,Binders and Binder Accessories,0.37
Xerox 1904,Beth Paige,8995,-78.02,6.48,5.86,Northwest Territories,Paper,0.36
Luxo Professional Combination Clamp-On Lamps,Beth Paige,8995,737.94,102.3,21.26,Northwest Territories,Office Furnishings,0.59
Xerox 217,Beth Paige,8995,-191.28,6.48,8.19,Northwest Territories,Paper,0.37
Revere Boxed Rubber Bands by Revere,Beth Paige,8995,-21.49,1.89,0.76,Northwest Territories,Rubber Bands,0.83
"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets",Sylvia Foulston,9126,884.08,62.05,3.99,Northwest Territories,Appliances,0.55
"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Bryan Davis,9127,-329.49,279.48,35,Northwest Territories,Storage & Organization,0.8
Hon 4070 Series Pagoda Round Back Stacking Chairs,Joy Bell,9509,2825.15,320.98,58.95,Northwest Territories,Chairs & Chairmats,0.57
Xerox 1887,Joy Bell,9509,2.13,18.97,5.21,Northwest Territories,Paper,0.37
Xerox 1891,Joy Bell,9509,707.15,48.91,5.81,Northwest Territories,Paper,0.38
Avery 506,Alan Barnes,9763,75.13,4.13,0.5,Northwest Territories,Labels,0.39
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Grant Carroll,9927,-270.63,140.98,53.48,Northwest Territories,Bookcases,0.65
"Lifetime Advantage Folding Chairs, 4/Carton",Grant Carroll,9927,3387.35,218.08,18.06,Northwest Territories,Chairs & Chairmats,0.57
Microsoft Natural Multimedia Keyboard,Grant Carroll,9927,-82.16,50.98,6.5,Northwest Territories,Computer Peripherals,0.73
"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Delfina Latchford,10022,-3.88,10.14,2.27,Northwest Territories,Paper,0.36
"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Don Jones,10437,-191.22,15.99,13.18,Northwest Territories,Binders and Binder Accessories,0.37
Bevis Boat-Shaped Conference Table,Doug Bickford,10499,31.21,262.11,62.74,Northwest Territories,Tables,0.75
"Linden 12"" Wall Clock With Oak Frame",Doug Bickford,10535,-44.14,33.98,19.99,Northwest Territories,Office Furnishings,0.55
Newell 326,Doug Bickford,10535,-0.79,1.76,0.7,Northwest Territories,Pens & Art Supplies,0.56
Prismacolor Color Pencil Set,Jamie Kunitz,10789,76.42,19.84,4.1,Northwest Territories,Pens & Art Supplies,0.44
Xerox Blank Computer Paper,Anthony Johnson,10791,93.36,19.98,5.77,Northwest Territories,Paper,0.38
600 Series Flip,Ralph Knight,10945,4.22,95.99,8.99,Northwest Territories,Telephones and Communication,0.57
Fellowes Recycled Storage Drawers,Allen Rosenblatt,11137,395.12,111.03,8.64,Northwest Territories,Storage & Organization,0.78
Satellite Sectional Post Binders,Barry Weirich,11202,79.59,43.41,2.99,Northwest Territories,Binders and Binder Accessories,0.39
Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Doug Bickford,11456,399.37,105.34,24.49,Northwest Territories,Office Furnishings,0.61
Avery 487,Carl Jackson,11460,37.79,3.69,0.5,Northwest Territories,Labels,0.38
Bevis Round Conference Table Top & Single Column Base,Brendan Dodson,11495,-144.2,146.34,43.75,Northwest Territories,Tables,0.65
"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",Edward Hooks,11911,-14.75,15.22,9.73,Northwest Territories,Binders and Binder Accessories,0.36
Hanging Personal Folder File,Jamie Kunitz,11941,-41.01,15.7,11.25,Northwest Territories,Storage & Organization,0.6
"Bevis Round Conference Table Top, X-Base",Jamie Kunitz,11941,111.52,179.29,29.21,Northwest Territories,Tables,0.74
5125,Michelle Lonsdale,12096,2332.4,200.99,8.08,Northwest Territories,Telephones and Communication,0.59
Electrix Halogen Magnifier Lamp,Michelle Lonsdale,12096,2176.19,194.3,11.54,Northwest Territories,Office Furnishings,0.59
Canon BP1200DH 12-Digit Bubble Jet Printing Calculator,Brendan Dodson,12289,1269.05,120.97,7.11,Northwest Territories,Office Machines,0.36
Fellowes Black Plastic Comb Bindings,Hunter Glantz,12352,-32.82,5.81,8.49,Northwest Territories,Binders and Binder Accessories,0.39
Polycom ViewStation Adapter H323 Videoconferencing Unit,Sylvia Foulston,12419,5322.14,1938.02,13.99,Northwest Territories,Office Machines,0.38
Hon GuestStacker Chair,Eugene Barchas,12485,1068.48,226.67,28.16,Northwest Territories,Chairs & Chairmats,0.59
Eldon Wave Desk Accessories,Jim Radford,12544,-129.01,2.08,5.33,Northwest Territories,Office Furnishings,0.43
Sharp AL-1530CS Digital Copier,Carlos Soltero,12704,1260.51,499.99,24.49,Northwest Territories,Copiers and Fax,0.36
"Tennsco Lockers, Gray",Carlos Soltero,12704,-1274.02,20.98,53.03,Northwest Territories,Storage & Organization,0.78
"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Carlos Soltero,12771,-193.44,30.53,19.99,Northwest Territories,Labels,0.39
Newell 323,Carlos Soltero,12771,-43.1,1.68,1.57,Northwest Territories,Pens & Art Supplies,0.59
Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Jim Radford,12929,-158.93,270.98,50,Northwest Territories,Chairs & Chairmats,0.77
Spiral Phone Message Books with Labels by Adams,Jim Radford,12929,29.68,4.48,1.22,Northwest Territories,Paper,0.36
Crate-A-Files,Grant Carroll,13280,-116.76,10.9,7.46,Northwest Territories,Storage & Organization,0.59
Bell Sonecor JB700 Caller ID,Grant Carroll,13280,-160.95,7.99,5.03,Northwest Territories,Telephones and Communication,0.6
Holmes 99% HEPA Air Purifier,Skye Norling,13313,-209.61,21.66,13.99,Northwest Territories,Appliances,0.52
Xerox 224,Doug Bickford,13346,-240.83,6.48,8.88,Northwest Territories,Paper,0.37
Xerox 1906,Grant Carroll,13702,12.32,35.44,7.5,Northwest Territories,Paper,0.38
"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Muhammed MacIntyre,13795,-119.08,15.99,13.18,Northwest Territories,Binders and Binder Accessories,0.37
Xerox 188,Muhammed MacIntyre,13795,43.35,11.34,5.01,Northwest Territories,Paper,0.36
Xerox 1932,Muhammed MacIntyre,13795,545.49,35.44,5.09,Northwest Territories,Paper,0.38
GBC Linen Binding Covers,Doug Bickford,14116,-16.07,30.98,11.63,Northwest Territories,Binders and Binder Accessories,0.37
GBC Recycled Grain Textured Covers,Doug Bickford,14116,161.48,34.54,14.72,Northwest Territories,Binders and Binder Accessories,0.37
"Sauder Facets Collection Library, Sky Alder Finish",Beth Thompson,14372,-1059.2,170.98,60.49,Northwest Territories,Bookcases,0.69
"Fellowes Basic 104-Key Keyboard, Platinum",Ralph Knight,14726,-21.48,20.95,4,Northwest Territories,Computer Peripherals,0.6
Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,Carl Jackson,14819,3122.78,207.48,0.99,Northwest Territories,Appliances,0.55
O'Sullivan 3-Shelf Heavy-Duty Bookcases,Carl Jackson,14819,-478.22,58.14,36.61,Northwest Territories,Bookcases,0.61
G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Dorothy Badders,15106,-14.23,6.64,4.95,Northwest Territories,Office Furnishings,0.37
Panasonic KX-P1150 Dot Matrix Printer,Dorothy Badders,15106,948.79,145.45,17.85,Northwest Territories,Office Machines,0.56
Newell 327,Dorothy Badders,15106,-6.33,2.21,1.12,Northwest Territories,Pens & Art Supplies,0.58
Xerox 1893,Delfina Latchford,15108,372.36,40.99,17.48,Northwest Territories,Paper,0.36
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Julia West,15205,678.26,243.98,43.32,Northwest Territories,Chairs & Chairmats,0.55
